"Frame","Body_Angle","Right_foot_centerline_dist","Left_foot_centerline_dist"
0,-11.9260358685628,89.0604773695796,99.8521876492295
1,-11.9050465177372,89.0911256309377,91.2270182787063
2,-11.8005257643729,88.5995998909881,89.486329764906
3,-11.8152615489486,88.6777195125698,89.4210131477193
4,-11.5584890823136,105.283494342696,69.5707771416251
5,-11.55732814347,105.367570297352,69.4322682738319
6,-11.5646241968081,105.769411432293,55.3069124012124
7,-11.5658705927505,105.698916890696,55.2036763549274
8,-12.1807468466466,94.3521735778421,52.1904939115894
9,-12.1853656366603,94.2331576184076,52.3476539470474
10,-13.9067091148878,95.4744821213994,54.9641003403866
11,-13.9080313278235,95.4829014131492,54.9583724134087
12,-13.9085014443368,95.493187345676,54.9691489910651
13,-13.7044575572324,95.3111749154382,80.8248688567967
14,-13.7044575572324,95.3271269900102,80.8641212712438
15,-13.8067149251458,95.5096907786395,87.9649400127944
16,-13.8236590000595,95.3657950552981,88.529886510821
17,-13.901801915735,94.7702055768215,100.164883583989
18,-13.9159200026754,94.9419684620668,100.446317506929
19,-14.8140626562324,99.6134656149408,100.956262201221
20,-14.8140626562324,100.279475985092,100.956165458213
21,-14.8409054459548,97.6790457282922,100.819815171355
22,-14.5790384093581,98.4129736309694,98.7239162039791
23,-14.5708148750195,98.4781964569654,98.107802246416
24,-14.2454407001152,108.996788214966,99.3597558657993
25,-14.2433735915099,109.056883507566,99.359764831455
26,-13.6561639801494,111.924590015087,98.3948304054776
27,-13.649014700903,112.144946710942,98.13127306645
28,-12.5615671394329,107.205877174268,71.2049958142942
29,-12.540831018049,106.887085063716,71.2514671603679
30,-11.7478987390554,96.2620911024331,92.4300487251494
31,-11.7478694600702,96.2684778247066,92.4299042549046
32,-11.7447585324426,96.2684413119505,92.4247178310167
33,-11.6190705381204,104.479328489189,57.45640267051
34,-11.61858945352,104.55795030259,57.7140515367967
35,-11.5635967714923,105.136678046688,81.7906006687909
36,-11.5635967714923,102.502841706283,96.421820605905
37,-11.5635967714923,102.416798275298,96.4972907905274
38,-11.3321075432254,100.336738774142,96.8606829456202
39,-11.327481103273,100.377559014882,96.7589009607128
40,-11.0256985447814,98.6871715520559,91.4049282054531
41,-11.0256985447814,98.4759376634379,91.3589751233262
42,-11.0256985447814,98.3692512980691,91.3379585062686
43,-11.0238039288109,89.2481965851063,86.1569251696412
44,-11.0254795455015,89.2178913794438,85.1149414553457
45,-11.5906399542796,81.8361453988386,65.1604875842854
46,-11.5903343378794,81.5286601810972,64.7345333137204
47,-11.673089482299,74.2877515885594,64.3320882515171
48,-11.6596217260676,72.7704092908763,64.5939353424589
49,-11.6576240601643,72.6701938727022,64.6190860736734
50,-11.3926924628997,65.846625876077,62.1347243336308
51,-11.3750801053038,65.630451245796,62.2198276709685
52,-11.3444673351056,61.5780079353194,60.3890403771842
53,-11.3555962798576,61.619215108631,60.3317405719706
54,-11.9523273516329,62.797833886648,58.4020909240054
55,-11.953043439966,62.4571021023441,58.430790028983
56,-11.9556873053218,62.46114578982,58.4200468849588
57,-12.3803044308929,63.5726085528705,56.3852617776785
58,-13.0801880814162,69.8336995570005,51.5656893352888
59,-13.0807006654537,69.8385449083631,51.5666695681997
60,-13.0819356749664,69.8518522910883,51.5635024196734
61,-13.2545802586184,121.771972419328,66.1595624630594
62,-13.2555619873573,122.038977779638,66.3261155376264
63,-13.0302430914294,133.333259008523,71.759694602154
64,-13.0040552050762,133.763071614051,72.3828131388785
65,-12.6081149814816,133.125007562585,113.562188478586
66,-12.6053272660919,132.919978063235,113.574086423376
67,-12.5785867577138,133.319412075309,113.691525846167
68,-12.5076558757812,111.376386555519,66.2925579232134
69,-12.3393267822185,110.440040830706,66.9603209774601
70,-12.1411926548132,96.0787784786065,57.0428001976835
71,-12.1379779103881,95.4304225780606,55.0082060708775
72,-10.6175516148723,87.2546698388674,62.2390495965242
73,-10.6104809968962,87.0615452182114,64.0051417212812
74,-9.62856665638938,83.4796136975148,80.5092539515368
75,-9.61922922950058,83.6911998889314,84.582267632766
76,-9.36649243513201,110.313641498033,131.817123937608
77,-9.36649243513201,110.315390025964,131.835089944436
78,-9.36649243513201,110.315981187564,131.835648050693
79,-9.54252310349402,49.9449134160529,130.982403811669
80,-9.70034422890669,50.6222038235306,130.196109652722
81,-9.80029856500471,40.0623977382468,56.7997136166577
82,-9.80010928470747,39.9817805278866,56.7470360803014
83,-9.57644534039375,30.5946093702546,57.260263858388
84,-9.57513852339429,30.5944195874022,57.2698353543877
85,-8.99885509740587,18.4939720814714,63.8714208254415
