"Frame","Body_Angle","Right_foot_centerline_dist","Left_foot_centerline_dist"
0,-8.77055376811616,25.684612738839,41.6280536058129
1,-8.75947727434305,25.6636072988527,41.6258319253961
2,-8.38689059737693,24.4255161213489,41.5875205764217
3,-8.43520247751068,24.5619086805356,41.4500949480382
4,-8.30014872401933,24.394745092769,41.3495788118341
5,-6.83634030246876,26.0977933750662,40.8832799173399
6,-5.75984689641751,27.5657998936689,39.6660833501803
7,-5.40930127140598,27.100539249839,40.3472141901398
8,-5.37608186471081,27.2249726760949,40.194599537399
9,-5.33839581173128,27.0889110342363,40.0956333769708
10,-5.37661139399477,26.6234382507139,39.8692863300542
11,-5.42957720544355,26.7389759934692,39.6852713838507
12,-5.57873836725767,26.8842007606264,39.3730819466582
13,-7.05939436847925,28.9483111241372,38.9380584421351
14,-7.09628675992074,29.0277566840269,39.15034857275
15,-7.86611445161656,20.9696798025499,42.6699277338116
16,-7.84057443726759,20.8987596488957,42.7512103817474
17,-7.81705226351582,20.8240401072563,42.553548101121
18,-6.29317668402549,27.2491919106648,40.9502436313964
19,-6.24714595067404,27.5874825107214,41.0672317061801
20,-5.10299159891943,26.3623107211222,41.8218313703822
21,-5.10299159891943,26.3664581122058,41.6573530882345
22,-5.06893544433345,26.2437468460388,41.5789848787315
23,-5.09649926023203,26.2146144126192,42.8723163409541
24,-6.41239013816587,28.4896214060478,39.7061508988864
25,-6.75304454400615,26.6732544539041,41.2634062187163
26,-6.75304454400615,25.0992598847171,41.3935669212839
27,-6.78701035123704,24.8742291404317,41.3574870126853
28,-6.85221426762721,24.6384834304394,40.7407264324359
29,-6.95579023554784,24.9013649490642,39.8442805257497
30,-6.9008627781652,24.7963399711189,39.8526671774563
31,-6.90467290619477,24.8358274651442,39.414259948386
32,-6.74459173623127,26.2622154557154,38.683653389419
33,-6.55629129111882,27.0080239082242,38.8998456996109
34,-6.49523130038136,27.2084128615355,38.9063905667288
35,-6.18671756628122,27.4501235074064,39.1290183639416
36,-6.15539810445971,27.3356725496945,39.2518192291067
37,-6.1516714139879,27.2838992326069,39.3165627310287
38,-6.5187622575158,27.3081383989865,40.0111622257394
39,-6.7497777375392,25.2114076405562,41.9170809277427
40,-6.78437985546626,25.2558543496341,41.8048282425681
41,-6.7946619561967,25.248057259713,41.7747610486357
42,-6.0667106618518,28.0533835613612,38.5779719328972
43,-5.80998410291429,27.4554670545713,38.7390348123195
44,-5.80998410291429,27.4305048941877,38.7289638578165
45,-5.80191468236244,27.4194117820856,38.7353531027732
46,-6.98387086540459,27.4542896780967,40.4683672005635
47,-7.04493915406753,27.4092498960814,40.3456274907811
48,-7.04032209116495,25.5208349292629,40.5692666229781
49,-7.01010226202342,25.2408179524401,40.6605967558914
50,-7.01010226202342,25.2408179524401,40.1074121601714
51,-6.98632108159821,25.4135907458879,39.9800207360747
52,-5.75748504322678,26.2659296792663,40.2794561618834
53,-5.75748504322678,26.2549286329269,40.2794561618834
54,-5.75748504322678,26.2549286329269,40.2734861006317
55,-6.41277830183787,27.0393653238809,41.0251830438164
56,-6.74875042947152,26.7091246291217,40.6561746131827
57,-6.74875042947152,26.6702476421187,40.6951660126297
58,-6.74875042947152,26.6721158998292,40.6657836445475
59,-6.76872332956954,27.904640154244,40.2693491369837
60,-6.78001770088982,27.9402935090819,40.0706201124036
61,-6.78800441527973,27.9669243461803,40.1643013312955
62,-6.98086189065487,27.3516641647014,39.676241117663
63,-7.39347971551377,23.797698361451,40.311088243559
64,-7.401181151326,23.8227188818968,40.3366139692647
65,-7.40454397947393,23.8257073706803,40.3255762850984
66,-6.86307696818984,25.5658401075606,40.4881356642382
67,-5.56873491209746,25.2264077459616,41.8647656610559
68,-5.56873491209746,25.2265793193578,41.8306134784216
69,-5.56873491209746,25.2291549649579,41.827752159352
70,-6.64502486571413,25.2537555806624,40.9377194987982
71,-6.76236013427735,25.4873535136087,40.7794058368706
72,-6.75225695915528,24.5881582634396,42.5147759608945
73,-6.7972144646477,24.8373597509138,42.3954911017083
74,-6.7972144646477,24.8401670691081,42.1921804501549
75,-6.75225695915528,24.6007847077729,42.2285060416791
76,-5.73527935050401,26.0177708755524,40.7358083865122
77,-5.77713535288045,26.192887738113,40.513485938263
78,-5.80662903246344,26.0827036161572,40.7552986240263
79,-6.32515932555284,26.8489395079082,39.4555958510767
80,-6.63633121988514,26.6201257959771,39.5387739332561
81,-6.63183692400195,26.6024694932415,39.5566163555376
82,-6.57603281108007,26.4672716455369,39.3948140138507
83,-6.46644962079241,26.4095139443587,39.6136593779151
84,-6.21757405358858,25.577038109793,39.4439647536699
85,-6.22983217803438,25.598840580086,39.4026466980167
86,-6.23150792155252,25.4037676231692,39.5892104292369
87,-7.02103513880883,22.0315897758907,39.1255769263652
88,-7.3861218665658,22.5264239519278,39.5853193902491
89,-7.36676985652988,22.4597885183811,39.6688115747351
90,-7.3409694588292,22.4760517190649,39.5763923487227
91,-6.99996683174921,24.746367755363,40.1985732624599
92,-6.54419905979384,25.9266754373973,39.6881739376911
93,-6.30038885375007,26.8477123921896,39.477833796563
94,-6.30038885375007,26.7417574705929,39.4298647172441
95,-6.30038885375007,26.7396232935122,39.5759391466824
96,-6.38966448652153,24.5259079255195,39.3119669577199
97,-6.5917168813626,23.3893210367071,40.8212409771346
98,-6.83147531148292,22.7431564014902,40.7123836805996
99,-6.83147531148292,22.7204390444316,40.6736340705567
100,-6.83909115779286,22.7439880739606,40.0371801779392
101,-6.32487418588636,23.8620064240198,40.6390793118524
102,-6.32487418588636,23.8729946879521,40.6265679875626
103,-6.32487418588636,23.9086278740323,40.5592060039165
104,-6.37121483281082,23.8306155456147,40.775348356152
105,-6.88755654303069,23.4019935391248,40.367066034467
106,-6.88755654303069,23.4019935391248,40.367066034467
107,-6.88755654303069,23.4019935391248,40.3990164669527
108,-6.36872722807392,21.5920725606728,39.6268224933602
109,-6.36872722807392,21.5580563927095,39.6266011189666
110,-6.36872722807392,21.55800002626,39.6266510732156
111,-6.58078501730285,22.1358493169285,38.8616716166623
112,-6.52347956543441,22.1184518468844,41.1328556950725
113,-6.5130795018055,22.0599269659121,41.1962004131573
114,-6.5130795018055,24.4547436455172,41.1620521552983
115,-6.49321944187745,25.7584356365981,40.7275404564054
116,-6.25090913982334,25.5619118236283,40.9949360478008
117,-6.28964192662963,25.6746584231521,40.4040437553497
118,-6.29090190232728,25.6131243911196,40.4822333999228
119,-6.55217077011502,24.3215855598407,39.8698940920487
120,-6.55177157121467,24.0156576510638,39.8823738665563
121,-6.63272861518673,24.289116465807,39.6027066517673
122,-6.6666353335979,24.4115127495401,38.7802918048755
123,-6.66548862645506,24.5212938609439,38.7356808651151
124,-6.66548862645506,25.0532739133817,38.7209624428831
125,-6.66411146394138,25.0401476970806,38.672756230451
126,-6.66206251146544,25.0345009493134,38.6931965626922
127,-6.8547840134028,26.1203189039044,40.4695531478533
128,-6.80417361006205,26.0029371754082,40.3687455040931
129,-6.80417361006205,26.0067492513426,40.3647675192955
130,-6.4536667603123,31.9522163742125,41.5052527002965
131,-5.85487667735118,30.9528574321174,41.7146085388191
132,-5.98406753736599,39.1782139901089,41.7902140002206
133,-5.98406753736599,39.4405984362439,42.0976933265235
134,-6.50074688186815,41.1980752250031,44.3261053896681
135,-6.50298961621352,41.7043428200042,44.5041978365502
136,-6.56327877989713,42.0898964696918,45.7890336845308
137,-6.53019745056134,44.98435382411,46.0468264679164
