"Frame","Body_Angle","Right_foot_centerline_dist","Left_foot_centerline_dist"
0,-7.16507434785795,82.9264614303076,31.5993293300712
1,-6.3849326498573,78.5285429429007,20.6603519362315
2,-6.38335294670172,78.5194438658891,20.5631959790644
3,-6.37026151224124,76.0547233973185,16.7560282323049
4,-6.37117818819834,76.0426875849102,16.7621427971965
5,-6.36545053509728,70.4225372191206,15.664981842298
6,-6.37663717475566,70.4145312886666,15.5240243043823
7,-6.37807056972568,69.0391734190223,13.3798553322876
8,-6.34155963328117,68.7718474599343,13.4305604112508
9,-6.34489750882355,68.2076625180697,13.4324870535032
10,-6.34633884142133,68.0202100517788,13.4240499807581
11,-6.5748408623107,62.6724711334098,12.1553995533585
12,-6.5748408623107,62.6801930631744,12.1587859645531
13,-6.5748408623107,62.6610702252151,12.1947564845018
14,-6.5461740846787,62.5795398310708,12.3302719099301
15,-6.25257831245778,60.8688137103696,14.0776947895808
16,-6.25001316409595,60.8500319337781,12.8795298617508
17,-6.21542663966771,57.4246311114594,12.7243841346288
18,-6.21259375707501,57.3542790418372,12.7686348834389
19,-6.04187005058097,56.3061045060105,13.7714915958551
20,-6.02887692610564,56.2942040650071,13.6996085272644
21,-6.02887692610564,55.9663573240074,13.829243102926
22,-6.04133252809819,56.0278873449032,13.7816259773164
23,-6.17918483623556,55.0555223862605,17.9813342533914
24,-6.18357227610618,55.0537276645689,17.9710861925453
25,-6.18357227610618,55.056173040596,17.9687273124155
26,-6.14121265085281,56.5134737501001,17.4774788988782
27,-6.14121265085281,56.5706632098794,17.4650903678424
28,-6.14557354514626,56.5179640003765,17.5173829006496
29,-6.36046064934971,57.6182423254631,17.9946543210692
30,-6.36046064934971,57.6182423254631,17.9946543210692
31,-6.36046064934971,57.6593253243737,17.9550719062736
32,-6.34070519260668,57.6401714677916,17.9476546246416
33,-6.30973196857618,58.0617711974409,17.9681521951699
34,-6.28853493964493,57.9350849982536,17.9105004550584
35,-6.25752948548286,57.7513000993526,17.9726327629363
36,-6.25362119724887,57.5377061165353,17.9613352015962
37,-6.23314187863664,57.4147789341783,18.0799634556475
38,-6.22348256444439,57.3541174886958,18.0698559523052
39,-6.18099018362595,57.0986444951434,18.3227816174486
40,-6.18099018362595,57.087254811418,18.3294071001183
41,-6.16847617227552,57.0864076312468,18.4066214706365
42,-6.16555526059619,57.1326702675581,18.4480591657153
43,-5.97578425204482,56.7250943575956,18.0903543635214
44,-5.95566376034296,56.6569378060139,17.9905392402675
45,-5.95566376034296,56.6569378060139,17.9905392402675
46,-5.97301814567761,56.7178945803595,17.915043237971
47,-6.01374166860705,56.2880560064566,18.7197830210466
48,-6.0158596670344,56.2939831825025,18.7714081497698
49,-6.02198178312809,56.3295665099508,18.8096116251572
50,-6.0258918602858,56.3935638327628,18.8951233571185
51,-6.00608162154387,57.3041609762923,17.3878181069311
52,-5.99211348097314,57.2347258999446,17.3750364949975
53,-5.9502308843545,56.9571387271594,17.1802206013371
54,-5.94720685700393,56.9014732864648,17.1770819443875
55,-5.87239893499956,56.1650893603484,17.619689766012
56,-5.83954239739271,55.9315897302952,17.835241066315
57,-5.83954239739271,65.8152620914356,27.3870300450633
58,-5.84336635694657,65.9193469679607,27.5624607189054
59,-6.11982927587172,110.888687499796,47.6756149094274
60,-6.16670457821473,111.576893943881,47.4214449184405
61,-6.24227832600229,117.718892959534,55.4754023050907
62,-6.27482039723996,117.994051113891,55.3046795305027
63,-6.52708990707219,119.313272943274,60.9937026619433
64,-6.56005144690598,119.505539692277,60.8172664487242
65,-6.5677722489409,116.159377814512,64.1928016732966
66,-6.53592136740958,115.689995142574,64.4416867202466
67,-6.19769891869973,107.045170512985,72.162597442565
68,-6.1830711304726,106.954473607142,72.2855759220505
69,-5.57023938443089,103.434914798769,99.6768267907487
70,-5.53377867564827,103.295485886708,99.9971140979143
71,-5.54985861348997,126.434168473188,101.181000217254
72,-5.54985861348997,127.421384054895,101.214515219903
73,-6.59100418078598,147.460303942604,97.6339475560258
74,-6.59100418078598,147.984957360724,97.6357054915523
75,-6.59100418078598,147.67184868854,97.6842234210635
76,-6.51832792478702,147.260857167094,97.8821245844889
77,-6.3653300047333,141.045311378376,76.9789111146557
78,-6.3653300047333,140.743418437141,76.8789907652258
79,-6.38467139301101,79.4196088529296,64.5986200435479
80,-6.38940746757162,79.5041095643133,63.771026269995
81,-6.39749531643247,80.93665600059,42.214258461301
82,-6.39749531643247,81.1067004642799,42.1566047564591
83,-5.94010779405013,78.5781067357169,34.0878313379352
84,-5.93064486263507,78.5429984798155,33.8950553752801
85,-5.67570853754248,77.7926792721781,35.1033589332386
86,-5.41036029053079,76.7228774269581,36.7074600157416
87,-5.30224306208562,76.064682437141,37.212832925282
88,-5.30224306208562,75.8610922704309,37.2284727183562
89,-5.30224306208562,75.9016337865494,37.2449012113491
90,-5.32699445104282,75.8766563713222,37.130263384972
91,-6.11353464958022,78.5840797152184,35.3125089675913
92,-6.11671816685519,78.6401372651086,35.2559870097661
93,-6.11671816685519,78.6609438553862,35.2556691174729
94,-6.1102281423905,78.6315092186496,35.2819159640245
95,-6.10848457946736,78.6239829691182,35.2875246583396
96,-6.07282771765253,78.4087439735195,35.4844186998113
97,-5.83996270979503,77.0628326424012,37.1743981524148
98,-5.82085611637315,76.9303556249974,37.5479651417265
99,-5.81268592128406,76.8548098829803,39.1849675355285
100,-5.80673516548346,76.8270444088429,39.2237006493874
101,-5.80480998138727,76.8177362597537,39.230587726687
102,-5.79183976558357,76.7036631654651,39.2977802707383
103,-5.78370070373054,76.6711709129223,38.9740805357959
104,-5.7651919883211,76.6281201998568,38.9380511175495
105,-5.71114892719418,77.7129124526644,39.1594653551783
106,-5.71114892719418,77.7364531254006,39.253570283644
107,-5.6711312320095,77.5957446583044,38.8938616121526
108,-5.65167866233665,77.5249358868776,39.0519809623149
109,-5.58966894370225,78.6534754028092,37.5766716404565
110,-5.43174133430198,77.8659764625066,38.3049625147628
111,-5.24523621591943,76.7829695840447,35.4417821951638
112,-5.23766107424481,76.7478533398456,35.4551525250476
113,-5.23766107424481,78.8569667319836,35.5083377697665
114,-5.25710223517831,79.0366664882081,35.1775822558408
115,-5.51239928846726,90.2380681885338,35.2132258049437
116,-5.52837940888938,90.8587343218917,35.204731350307
117,-5.58926684519115,111.457401126527,49.1213992950563
118,-5.58776653433064,111.518555173516,49.2338216354033
119,-5.58139091110936,124.250083112676,64.2559111795364
120,-5.61111637275252,124.491463348745,64.1121597514347
121,-5.99548103578865,126.529754111092,62.4299556941816
122,-6.00403555134387,126.487999865961,62.392039420791
123,-6.004281695595,121.779596418986,62.2895141117347
124,-5.996553948686,121.679202836975,62.230157969043
125,-5.98361202025525,115.756833049992,61.881369248191
126,-5.98338050183967,115.613419938781,61.8813117641016
127,-5.96757231968443,115.383134823155,61.6799242916544
128,-5.96235034514696,115.221335994028,61.7110413316709
129,-5.95200388083686,113.655544287749,61.5955919002847
130,-5.92037449240061,113.477510804686,61.4274591586208
131,-5.73500363108254,112.466735479925,60.8288003262926
132,-5.70743668799121,112.345677216996,60.9462613060331
133,-5.22424994075383,110.27234445989,60.4162180423239
134,-5.22260727354412,110.699456083538,59.1760422555041
135,-5.19982962026716,110.719957607784,57.3147945646316
136,-5.19327519873082,110.824360955286,57.2721747764025
137,-5.18850597269614,111.021733394411,56.4121330482963
138,-5.18850597269614,111.028496830236,56.3763587672484
139,-5.21558389373695,111.372926140695,56.2189659289063
140,-5.23892992484051,111.583070814378,56.1143329165276
141,-5.23892992484051,128.8720989247,65.9207870606647
142,-5.23744383812932,131.041178038196,68.1486205659168
143,-5.27254900877619,137.611447955834,78.4036641590356
144,-5.30907942321122,137.803858777069,78.2104662534865
145,-5.54787784079864,139.048103532801,78.5322587296322
146,-5.667845671576,137.405974533062,77.8520140032232
147,-5.73293457131113,128.515465003135,77.2991935037461
148,-5.73134041961072,128.272542127901,77.2437453486866
149,-5.71976969137811,70.5931489119088,58.2329603713137
150,-5.72032411857466,70.443221913381,58.1396440537432
151,-5.72032411857466,69.1695424659124,51.839746745674
152,-5.72109513930255,68.9165720148735,51.5457793529569
153,-5.18305065417005,57.7890232156565,41.5779830490328
154,-5.18562750887915,57.2878378382543,41.5377807856953
155,-5.19041048470612,51.926823665695,35.6034618481697
156,-5.24509984469185,52.2308196377952,35.228963813947
157,-5.25830801991468,52.23008482998,35.1459055453684
158,-5.299271566836,52.4751993068388,34.8936581655855
159,-5.51863846640003,53.6457061442172,32.4103183013088
160,-5.52957639669029,53.6240609542833,32.127629170932
161,-5.52957639669029,53.5168173966958,31.9987928782985
162,-5.5280774711032,53.5020320596203,31.9351092068633
163,-5.37320736512139,51.6060070724137,32.1634086522412
164,-5.37320736512139,51.5925582399127,32.1985525644497
165,-5.37320736512139,51.5833448427288,32.286958210568
166,-5.39167085812459,51.6817163601622,32.9840439881816
167,-5.39167085812459,51.3247627622197,33.4544408493892
168,-5.39167085812459,51.3579372338883,33.4357183171203
169,-5.32720156940322,50.9910307384737,33.800213236312
170,-5.2987857414456,50.8238340557702,33.0406488026996
171,-5.29563897480801,50.8108877655303,32.9766238571183
172,-5.29544752291541,50.8663880878637,32.8022622847861
173,-5.16365722274482,50.5403243179729,31.5108639343168
174,-5.14759385021074,50.5781438541916,31.3173146385191
175,-5.1205091461757,50.6211588305105,31.4739633418491
176,-5.1196811816924,50.6116829782618,31.4686692880448
177,-5.1196811816924,50.574183261729,32.452838150006
178,-5.17347953073711,50.7803043335419,32.2844415100348
179,-5.19668989220631,50.0498289634912,32.5094614434445
180,-5.19862866146209,50.0759954084306,32.484620642528
181,-5.23175357695824,50.2717097492416,32.4716613935284
182,-5.2880663231039,50.5727070364483,32.3918262858394
183,-5.28935965743626,50.6297363285993,32.1421168502167
184,-5.29119993955961,50.6797045813359,32.1212688222989
185,-5.29282875698582,50.5300843510841,32.1059843801672
186,-5.27591202014447,50.4292404073205,31.9307094164849
187,-5.26114285404967,50.3415117566752,31.9085193419933
188,-5.2523564748219,50.1771996564846,31.9274347962507
189,-5.2523564748219,50.1511586517346,31.8473967936049
190,-5.24624951697661,50.1125146005854,31.7523565716191
191,-5.21872270797604,49.8714855197528,31.9131783412923
192,-5.21872270797604,49.6670787232839,31.9075586981632
193,-5.21872270797604,49.548219438105,32.3718881958474
194,-5.26578552137603,49.8292023399221,32.2377078813352
195,-5.28242010056479,49.9271372091034,32.3206538856304
196,-5.30634247255022,50.104813180689,32.2183075881515
197,-5.39132149269137,50.7172261703772,32.9094005582281
198,-5.42296480859701,50.9518848855846,33.3288307288348
199,-5.74660055280813,56.3956155879118,34.72686669418
200,-5.76976464247532,56.5587523189509,34.6081138971097
201,-5.77732110580473,94.5268576086163,80.9525597155567
202,-5.75412708856016,95.0080381930093,81.3138954170066
203,-5.79621522800826,124.644085159277,96.1277117816556
204,-5.79621522800826,124.720868706843,96.1716631130061
205,-6.08857757206057,126.434320812663,109.765132805872
206,-6.2117752191228,127.029559972745,109.05289369562
207,-6.17021587175926,126.405401372424,109.280369590794
208,-6.0770169698151,125.318179515036,107.418533040459
209,-6.0752793608643,123.390956802743,59.6914978292596
210,-6.06230255142808,123.164207476008,59.7273909325481
211,-5.50065235403572,99.1965615216013,53.3355903238491
212,-5.48634021804423,98.9918853741488,53.3384867338776
213,-5.44855455437154,73.8364235886682,47.0311579756238
214,-5.44791229344799,73.0969669900328,47.0500400548087
215,-5.20789671588418,70.5249229139972,42.2119492179569
216,-5.20497988794267,70.4751457285881,42.2298610416196
217,-5.17370761531844,61.3974300729289,42.4203003606933
218,-5.17095116096216,61.1869559556149,42.4283699481747
219,-5.16702274486135,61.2262277083451,42.3911584881599
220,-5.15538681330686,60.8778201806263,42.3224380400018
221,-5.12804604879972,55.9982426441375,42.0946043541209
222,-5.09896024373847,55.2548776698229,42.1982600716836
223,-5.03097938787032,51.0871117018083,42.6343761958612
224,-5.02381681380275,50.9540376214457,42.7407836746789
225,-5.02366456261709,50.952295502081,42.9563709627918
226,-5.02234614433264,51.0339175672345,43.9812984131204
227,-4.96492685595908,56.0217464022553,58.6951424577219
228,-4.95779895558816,56.4156292044917,59.2872737163522
229,-4.94314255636097,64.0908094774248,74.7590531525258
230,-4.9408434326494,64.4310422839468,74.7802817306224
231,-5.17727907763306,76.6191800153403,73.3322797968525
232,-5.18516276221311,76.7444508504152,73.2369752225387
233,-5.19199986893995,76.7953305398662,65.7389475838513
234,-5.18666674909281,76.6994584885162,65.6411163554166
235,-5.18666674909281,75.6503282363197,63.488316042542
236,-5.18740978703332,75.5104386807,63.4567678271263
237,-5.19382768537029,75.4450181027774,63.4210665515803
238,-5.19159348613351,75.369517922082,63.4934566203163
239,-5.23416856385289,75.4346114908827,71.6970078029731
240,-5.29781596371829,75.6543918173173,71.3445369408009
241,-5.29591983650558,75.7133343871818,71.3529490887654
242,-5.29568367851147,75.7164554393117,71.3477016752616
243,-5.09862744899492,75.5589096478105,72.5550535197477
244,-5.09862744899492,75.9456685053253,72.7260643283613
245,-5.12394506746305,106.041972714921,97.0484905135473
246,-5.13526772728177,106.503593895729,96.9890847853607
247,-5.22899388463189,107.669589612208,96.4276676588746
248,-5.31261194961429,108.085905137977,95.9125755295842
249,-5.61580545445465,109.76036259746,90.0424426533581
250,-5.55566592925911,109.438110649937,89.436161823468
251,-5.5555837841486,95.8541340910975,87.4275706915247
252,-5.5464787857708,95.7243689147885,87.3759940223765
253,-5.53523023031584,94.4916570966022,78.8509133959754
254,-5.52053020823393,94.1132082840549,78.7725157114184
255,-4.7707242977893,89.902707077958,83.3131218157669
256,-4.75764984918206,90.1865783665308,83.5471447700664
257,-4.75764984918206,95.7268699708383,84.5021665090045
258,-4.77097391893761,95.7806286118302,84.5260061012797
259,-5.09396973742965,97.5592976727155,82.5836564691461
260,-5.09874405666768,94.525920931373,82.5738486262421
261,-5.13196481927054,86.1984678659251,63.0776674392838
262,-5.120273714768,86.0977420452981,62.876593774176
263,-5.10864486274393,81.1006409443956,57.3035973221802
264,-5.10864486274393,80.6885124427485,57.3053984295908
265,-5.10916831583473,76.5873941165769,55.2760251466852
266,-5.06827135323537,76.2250892243335,55.3398163291114
267,-5.04511063213937,74.4425212928776,51.163981724995
268,-5.04511063213937,74.4032602473789,51.1602965407185
269,-5.04521293852447,70.3974514248739,51.146026852854
270,-5.04521293852447,70.2952940914534,51.1230805645914
271,-5.04483105454807,67.7625436965401,51.1235714633922
272,-4.98406665081694,67.2342558277988,51.4492561853507
273,-4.88998784228584,62.6288329844586,48.5376032766655
274,-4.87305657451223,62.5257212419006,48.6018474154663
275,-4.83486630506843,62.2988553221653,48.5890845711565
276,-4.82294436375056,62.3904211112148,48.3137086623804
277,-4.83376474759996,63.8194150319825,48.2115692679082
278,-4.86838101721935,64.0764145933937,47.9718458657155
279,-4.94674300407707,64.4873562986375,49.0151485719745
280,-4.94813449492273,64.4694155009059,49.020533210609
281,-5.17955738861683,65.7539830905852,49.409998741813
282,-5.17955738861683,65.7600801917168,49.426212221463
283,-5.17955738861683,70.5312885489105,49.4289743457505
