"Frame","Body_Angle","Right_foot_centerline_dist","Left_foot_centerline_dist","Right_foot_centerline_dist_normalized","Left_foot_centerline_dist_normalized"
0,-3.34267609687387,NA,109.708185734653,NA,1.22581208121218
1,-3.34267609687387,NA,NA,NA,NA
2,-3.34267609687387,NA,NA,NA,NA
3,-9.9519794358122,85.2440914400554,NA,0.952465273575019,NA
4,-9.95715829458323,85.0897126167643,NA,0.950740339146414,NA
5,-9.96073256444196,85.1025759770728,NA,0.950884066456874,NA
6,-9.86814492935489,NA,32.7126265806031,NA,0.365510855932601
7,-9.85898695845369,NA,32.7146015321609,NA,0.365532922831832
8,-7.7097155214806,37.9061367581861,10.9234407472664,0.423539958108965,0.122051837305838
9,-7.70079655797007,37.8759812030149,10.8432758578325,0.423203018402989,0.121156123924934
10,-7.68676813624684,38.1000418782053,10.5941674493492,0.425706535170983,0.118372739124562
11,-7.68667267628692,38.0929501351238,10.6188244341421,0.425627296376832,0.118648241172499
12,-8.35586968367279,54.4677875127188,15.9571816515531,0.608589701150248,0.178295775466393
13,-8.35607176870956,54.4683294704997,16.0994921076781,0.608595756654592,0.179885865351051
14,-12.8326051030922,80.6746326802968,56.4017277789578,0.901408939767252,0.630198365324425
15,-12.8394578328115,80.8525090219863,56.513702513543,0.903396421076369,0.631449502434441
16,-12.8394578328115,NA,60.7660371617766,NA,0.678962485629417
17,-12.8326051030922,NA,60.8358416303941,NA,0.679742438012923
18,-11.851224536442,48.8770795245363,27.2706762345606,0.546122553885422,0.304705835460655
19,-11.7961919094892,48.294379854377,27.5873803626647,0.539611824621087,0.308244493435901
20,-8.40495487524678,19.8890390913893,10.0971717984052,0.22222794259759,0.1128196140851
21,-8.39982159704533,19.883373547187,10.1026575649386,0.222164639276299,0.112880908680816
22,-8.34995311420082,24.645806290161,8.34828420312385,0.275377146193675,0.0932786151284387
23,-8.35455390446736,24.6126762569032,8.3427553935707,0.275006971491155,0.0932168395963798
24,-10.3727280376682,35.1157416662999,NA,0.392361792212918,NA
25,-10.375030412234,35.1145407787999,NA,0.392348374231427,NA
26,-11.919815356336,38.5152784513037,30.8166931364102,0.430346134344524,0.344326856712279
27,-11.9212624208097,38.544789214531,32.5937120170719,0.430675869540194,0.364182177423951
28,-11.9212624208097,NA,NA,NA,NA
29,-11.916229235379,NA,NA,NA,NA
30,-12.0650237474522,38.8328619846814,13.1285073962038,0.433894618255743,0.146689901640282
31,-12.0664883407191,39.0065020207783,15.2246465723381,0.435834765680517,0.170110877101695
32,-12.3452240260352,NA,15.7887799387908,NA,0.176414157858569
33,-12.3473256574227,NA,15.7297872708509,NA,0.175755009914599
34,-12.1177915071052,NA,15.9404877476335,NA,0.178109248007478
35,-12.1125954167466,NA,15.9674401985865,NA,0.178410398188527
36,-12.4503312113301,NA,NA,NA,NA
37,-12.4410570855103,NA,NA,NA,NA
38,-12.6699670439219,98.7932978981083,30.9621275319544,1.10385580889287,0.345951851582881
39,-12.685769000061,98.8650962845322,31.0020580808275,1.10465804009285,0.346398011082196
40,-13.5659235353143,NA,67.1853844663672,NA,0.750688341150318
41,-13.5701958270039,NA,67.2949595225263,NA,0.751912665723183
42,-13.6495835285234,126.293466117371,86.5525021001184,1.41112584724782,0.967084653009214
43,-13.6468892163859,126.1554434095,86.5106969889831,1.4095836660363,0.966617548299178
44,-12.4142274405402,121.128519395125,91.9013246642845,1.35341589562891,1.02684912067869
45,-12.4065481201094,121.200532757664,NA,1.35422052884034,NA
46,-11.7743424196808,115.431666785652,33.27296491497,1.28976275336961,0.371771733325055
47,-11.7713822544559,115.278803008264,NA,1.2880547471361,NA
48,-11.7713822544559,NA,33.4975484793708,NA,0.374281092536866
49,-11.7748239575647,NA,33.4300637695973,NA,0.373527059718042
50,-11.5247595425486,107.105105546341,36.0057311112665,1.19672685733549,0.402305989234187
51,-11.5211341980455,104.812800375098,36.0165483165537,1.17111404317838,0.402426854061522
52,-10.588347598365,NA,37.7296892871422,NA,0.421568442125388
53,-10.574179318745,NA,37.8036050458859,NA,0.422394331546978
54,-10.2392788724985,34.7805509482247,39.2521219696741,0.388616576402672,0.438579172569821
55,-10.2392788724985,34.7627683284416,39.0267889144255,0.388417884299437,0.436061439006272
56,-10.3146728805677,34.8783278596406,36.7635844790997,0.389709075731457,0.410773778650778
57,-10.3178463940548,34.9023464586393,36.7306128187543,0.389977444847483,0.410405373510192
58,-11.2342753477439,NA,31.637583684482,NA,0.353498984976373
59,-11.2377352649296,NA,32.7964480088423,NA,0.366447425238821
60,-11.2377352649296,45.5720999936171,32.8970647734976,0.509194736603323,0.367571655348552
61,-11.2329909149662,45.5600965287728,32.7976530078134,0.509060617238173,0.366460889159372
62,-10.194006166796,NA,20.1417971336941,NA,0.225052106171219
63,-9.85644274792318,22.8899903326494,21.4868116161756,0.255758733960438,0.24008047430064
64,-9.85587074433353,17.4339109336135,21.8005851433753,0.194795844103092,0.243586387536105
65,-10.767675896611,22.1333425526513,NA,0.247304415044006,NA
66,-10.771308141044,21.9852906725442,NA,0.245650174003867,NA
67,-12.7884247030305,NA,38.9199553908521,NA,0.434867746639583
68,-12.7893040810303,NA,38.761828767644,NA,0.433100936589889
69,-12.7904329843703,NA,38.5924732819851,NA,0.431208662107815
70,-11.1256105042809,NA,22.5974167394715,NA,0.252489695804721
71,-11.1103713216443,NA,22.3076906783664,NA,0.249252474228534
72,-11.1109105170554,39.629602787584,NA,0.442796912056817,NA
73,-11.1115202961984,39.7075182664686,NA,0.4436674919018,NA
74,-12.0098468929584,NA,54.3742673390736,NA,0.607544764002453
75,-12.0167612061481,NA,54.64290036088,NA,0.610546304875066
76,-12.7852615258764,NA,61.2715189755322,NA,0.68461042985514
77,-12.7881568271775,NA,61.8186674337593,NA,0.690723931649196
78,-12.7881568271775,NA,61.8186674337593,NA,0.690723931649196
79,-12.7760288972064,NA,61.3106116276025,NA,0.685047227208716
80,-11.748026545392,112.383385445177,40.6641115442076,1.25570312446347,0.454355879361738
81,-11.7380257986824,112.48671778811,40.2505725689205,1.25685769678183,0.449735248106518
82,-11.5785903553026,110.291724907045,38.1875239350794,1.23233219056034,0.42668400609977
83,-11.5750909412069,110.254129470446,38.1164836779468,1.23191212217553,0.425890245772203
84,-12.4122836100944,NA,64.607564288825,NA,0.721885357164543
85,-12.4182516629497,NA,64.5281740900609,NA,0.720998299702757
86,-12.4182516629497,100.725111746609,64.4972992365796,1.12544071377748,0.720653322997969
87,-12.4102314898862,100.743238974989,65.6410876739591,1.12564325632614,0.733433314531889
88,-11.9864193676731,98.6306471485962,69.0766103577823,1.10203844902647,0.771819741058846
89,-11.6826376966049,102.081129464341,70.7406818746446,1.14059202531911,0.790413057097308
90,-11.6826376966049,102.102032871855,70.757492920262,1.14082558719326,0.790600893425817
91,-11.6826376966049,102.237069976633,70.9415840441624,1.14233440910423,0.792657814905376
92,-11.6385929141148,101.590382973806,72.9825708532432,1.13510872457103,0.815462551593092
93,-11.6381399766884,101.347477412474,73.1500642969773,1.13239464658605,0.817334020759028
94,-11.4665189187695,81.494662661055,74.2842130857464,0.910571452579203,0.830006304762774
95,-11.4608846337336,80.910536350314,74.1747728057267,0.904044782906694,0.828783486095953
96,-11.1745587073059,NA,75.7113772239086,NA,0.845952562835652
97,-11.1659038155816,66.5136412980391,75.9297994935429,0.74318269436841,0.848393079512968
98,-11.0270594454212,NA,73.8652704557877,NA,0.825325296379495
99,-11.024582750324,NA,73.7008869883521,NA,0.823488576184145
100,-11.012575680761,100.647680427982,61.9521629706572,1.12457554364271,0.692215529024739
101,-11.0094987856098,100.590036081916,61.7212838811598,1.12393146102163,0.68963582747093
102,-11.0094987856098,100.593674388345,60.6502877109424,1.12397211322955,0.677669172151702
103,-11.0107519976514,100.662848713972,60.8461348762076,1.12474502478118,0.679857448437976
104,-11.1557762730544,NA,58.4966334337586,NA,0.653605558173878
105,-11.1589330623745,NA,58.472981733431,NA,0.653341288558911
106,-11.777254053,110.506676671789,54.726540267927,1.23473392994138,0.611480845974649
