scorer,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,LeftKnee,LeftKnee,LeftKnee,LeftFoot,LeftFoot,LeftFoot,RightKnee,RightKnee,RightKnee,RightFoot,RightFoot,RightFoot,SoundStimuli,SoundStimuli,SoundStimuli
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,574.4149169921875,348.81585693359375,0.9999179840087891,599.2213745117188,128.13845825195312,0.9978713989257812,528.0333862304688,304.10992431640625,0.9997815489768982,489.6766052246094,395.7494201660156,0.9970707893371582,615.8572998046875,322.8531799316406,0.9988499879837036,667.70263671875,409.0527038574219,0.9071481823921204,980.2916259765625,525.8751831054688,0.9996103644371033
1,574.4840698242188,348.99847412109375,0.9999176263809204,599.3199462890625,128.193115234375,0.9974814057350159,528.0333862304688,304.10992431640625,0.9997836947441101,489.6766052246094,395.76373291015625,0.9969802498817444,615.86572265625,322.8583679199219,0.9988504648208618,667.771728515625,409.09515380859375,0.910662055015564,980.2916259765625,525.8759765625,0.9996134638786316
2,574.4840698242188,348.99847412109375,0.9997121691703796,600.7965698242188,128.193115234375,0.9986774325370789,528.0333862304688,304.10992431640625,0.9989542961120605,497.14398193359375,407.4438171386719,0.9393858909606934,615.86572265625,327.7318420410156,0.992243230342865,667.771728515625,409.09515380859375,0.9575021266937256,980.2930297851562,525.8766479492188,0.9996157884597778
3,574.4149169921875,348.81585693359375,0.9997161030769348,600.7965698242188,128.13845825195312,0.9985091090202332,527.9893188476562,304.07080078125,0.9989615678787231,497.14398193359375,407.7724609375,0.9544022679328918,615.86572265625,327.7318420410156,0.9917355179786682,667.70263671875,409.0527038574219,0.9535351395606995,980.2930297851562,525.8759765625,0.999616265296936
4,573.971435546875,348.81585693359375,0.9993159770965576,601.7030029296875,125.61068725585938,0.9964635968208313,527.9893188476562,304.07080078125,0.9997840523719788,497.14398193359375,407.7724609375,0.9911743402481079,622.3910522460938,327.7318420410156,0.2534904181957245,663.8592529296875,415.1702880859375,0.32896941900253296,980.2930297851562,525.8751831054688,0.9996157884597778
5,573.971435546875,348.99847412109375,0.9993143081665039,601.7030029296875,125.61068725585938,0.9950264096260071,527.9893188476562,304.07080078125,0.9997802376747131,497.2806396484375,407.4438171386719,0.9903283715248108,622.4608154296875,327.69915771484375,0.26081281900405884,663.6998901367188,415.12908935546875,0.35708001255989075,980.2930297851562,525.8712768554688,0.9996159076690674
6,573.971435546875,349.2808837890625,0.999783456325531,601.7030029296875,125.61068725585938,0.9956386685371399,535.803955078125,307.2515869140625,0.9995085000991821,555.5541381835938,406.06866455078125,0.9830105304718018,623.7421875,327.16729736328125,0.9971229434013367,641.7202758789062,407.63983154296875,0.9902003407478333,980.294189453125,525.8596801757812,0.9996165037155151
7,573.9783325195312,349.2872009277344,0.9997860789299011,601.47314453125,126.63867950439453,0.9963003396987915,535.803955078125,307.2608947753906,0.9995057582855225,555.6268920898438,406.06866455078125,0.983038067817688,623.7421875,327.15277099609375,0.9971178770065308,641.7202758789062,407.63983154296875,0.9898202419281006,980.294189453125,525.859130859375,0.9996160268783569
8,578.2003173828125,354.0580139160156,0.999881386756897,601.465087890625,126.66802978515625,0.9961005449295044,535.803955078125,308.6591491699219,0.9990218877792358,555.6268920898438,406.06866455078125,0.9884498119354248,624.22998046875,327.15277099609375,0.9997177720069885,663.6998901367188,415.12908935546875,0.995805025100708,980.2930297851562,525.859130859375,0.9996159076690674
