scorer,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,LeftKnee,LeftKnee,LeftKnee,LeftFoot,LeftFoot,LeftFoot,RightKnee,RightKnee,RightKnee,RightFoot,RightFoot,RightFoot,SoundStimuli,SoundStimuli,SoundStimuli
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,462.4706115722656,289.7442626953125,0.9998458623886108,469.8802795410156,72.10859680175781,0.9992756247520447,412.3295593261719,270.89117431640625,0.9992151260375977,445.16888427734375,327.7892150878906,0.9911927580833435,529.3485107421875,244.9520263671875,0.9998526573181152,504.0362548828125,344.25634765625,0.6899253129959106,980.8589477539062,525.9033813476562,0.999409556388855
1,465.1971740722656,289.7442626953125,0.9998675584793091,470.4360656738281,72.10859680175781,0.9992340803146362,416.11602783203125,271.2119445800781,0.9993638396263123,448.1289367675781,327.7892150878906,0.9939847588539124,531.0824584960938,244.9520263671875,0.9998977184295654,504.65484619140625,344.25634765625,0.40725281834602356,980.8589477539062,525.9036865234375,0.9994065761566162
2,465.2430114746094,289.7442626953125,0.9998705387115479,470.5867614746094,72.10859680175781,0.9992357492446899,416.15301513671875,271.2475891113281,0.999383807182312,448.1289367675781,327.7892150878906,0.9946988821029663,531.2097778320312,244.9520263671875,0.999890923500061,505.03485107421875,344.25634765625,0.5106427073478699,980.8589477539062,525.90771484375,0.999409556388855
3,465.2430114746094,289.7442626953125,0.9997915625572205,470.83056640625,70.23958587646484,0.9992144107818604,416.3338317871094,271.4707336425781,0.9995768666267395,448.1739196777344,327.5674133300781,0.9934483170509338,531.3057250976562,244.9520263671875,0.9998937845230103,505.51702880859375,344.2432861328125,0.5780205130577087,980.8489379882812,525.9705810546875,0.9994192123413086
4,465.1971740722656,289.7442626953125,0.9997852444648743,470.8604431152344,70.17394256591797,0.9992119073867798,416.3338317871094,271.6168212890625,0.9995881915092468,448.1739196777344,327.44427490234375,0.9930331707000732,531.3057250976562,245.016845703125,0.9998952150344849,505.51702880859375,344.2432861328125,0.6590878367424011,980.8489379882812,525.97265625,0.9994192123413086
5,464.9989013671875,290.4372253417969,0.9998499155044556,470.8604431152344,70.17394256591797,0.9992567896842957,416.3338317871094,271.8775329589844,0.9995599389076233,448.9427490234375,326.45343017578125,0.9939785003662109,531.3057250976562,244.95819091796875,0.9998973608016968,505.51702880859375,344.2432861328125,0.6708804965019226,980.8489379882812,525.9730224609375,0.9994195699691772
6,464.9989013671875,290.4372253417969,0.9998773336410522,470.8604431152344,70.23958587646484,0.9991626739501953,416.3338317871094,272.3389587402344,0.9995948672294617,448.9427490234375,326.3174133300781,0.9932141304016113,531.09130859375,244.95819091796875,0.9998836517333984,505.0777282714844,344.4024353027344,0.566874623298645,980.8523559570312,525.9734497070312,0.9994195699691772
7,464.9989013671875,290.4372253417969,0.9998691082000732,470.7056579589844,72.63743591308594,0.999100923538208,416.3338317871094,272.35986328125,0.9995883107185364,449.0731201171875,326.2159423828125,0.9920486807823181,531.0291137695312,244.95819091796875,0.9998922348022461,504.4801330566406,345.121826171875,0.3147452473640442,980.8524780273438,525.9771728515625,0.9994199275970459
