"Name","Sex","Group","Date","Stimulus","Note","Filename","Right_foot_centerline_dist_mean","Right_foot_centerline_dist_sd","Right_foot_centerline_dist_Kurtosis","Right_foot_centerline_dist_Skewness","Left_foot_centerline_dist_mean","Left_foot_centerline_dist_sd","Left_foot_centerline_dist_Kurtosis","Left_foot_centerline_dist_Skewness"
"201027S11M1","M","S11",2020-11-19 17:42:35,1,"","2020-11-19 12-42-35 201027S11M1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",24.6595836507459,16.7315742837335,8.69362953249587,1.80608132137459,28.8940948494672,25.6990288461683,7.883364454904,2.0691535735169
"201112S11F6","F","S11",2020-12-03 17:34:58,1,"","2020-12-03 12-34-58 201112S11F6 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",39.1283165320937,7.284627962861,34.835968194642,2.85218431600532,47.6565967881379,28.5653825983595,1.79222410646523,-0.139100592873577
"201110S12F3","F","S12",2020-12-03 18:23:06,1,"","2020-12-03 13-23-06 201110S12F3 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",38.6510402588802,11.5780117443095,10.5830044206656,0.494050882302428,47.0264482136898,13.3402892906017,14.6067532052113,1.41292006246008
"201112S11M3","M","S11",2020-12-03 18:53:04,1,"","2020-12-03 13-53-04 201112S11M3 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",26.9869398439171,16.7603082898198,5.08380075053897,1.12128429511977,81.2261841712016,26.2039486113916,3.42939862115447,-0.766014070355594
"201112S11M2","M","S11",2020-12-03 19:14:30,1,"","2020-12-03 14-14-30 201112S11M2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",16.1027246997667,10.0068094156974,5.84746117163939,1.42619508668214,29.5515107159001,16.6984772518413,2.40475700782076,0.415037254228487
"201110S12M1","M","S12",2020-12-03 19:29:32,1,"","2020-12-03 14-29-32 201110S12M1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",23.2028312060967,17.6269573037148,3.68170532326228,0.929987143344225,39.5651888033003,25.968391039066,2.88607435036122,0.699407311140183
"201110S11M2","M","S11",2020-12-04 19:21:37,1,"","2020-12-04 14-21-37 201110S11M2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",46.5394797917529,14.1899217333185,4.27461187064876,0.60947812693936,18.3923978255479,9.76432417335133,22.0955865079507,3.0563204106573
"201112S11F3","F","S11",2020-12-07 15:58:33,1,"","2020-12-07 10-58-33 201112S11F3 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",44.4472087325975,16.4582429714976,5.93121487724322,0.444923195333609,24.4231209279862,12.3095592510265,8.72130546149428,1.97514441912349
"201112S11F4","F","S11",2020-12-07 16:57:57,1,"","2020-12-07 11-57-57 201112S11F4 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",28.3207813659352,13.7019300289986,12.1009692432887,1.93130001222449,30.4979347443665,13.5024101050445,10.6343266188946,1.65204111433993
"201112S11F7","F","S11",2020-12-09 16:23:12,1,"-4 BEST RECORDING CONSISTENT FLYER","2020-12-09 11-23-12 201112S11F7 stim01-4 BEST RECORDING CONSISTENT FLYERDLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",35.7249783802269,8.23333613190558,4.41701889326983,0.489520205688921,30.8551482325035,9.63792689802707,3.78169491752806,0.0920200027128604
