scorer,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,LeftKnee,LeftKnee,LeftKnee,LeftFoot,LeftFoot,LeftFoot,RightKnee,RightKnee,RightKnee,RightFoot,RightFoot,RightFoot,SoundStimuli,SoundStimuli,SoundStimuli
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,385.9217834472656,284.62713623046875,0.9998472929000854,407.6895751953125,56.0740966796875,0.9997654557228088,314.6510925292969,210.0546417236328,0.9998650550842285,294.57574462890625,308.6911315917969,0.9992007613182068,456.4989318847656,245.40328979492188,0.9998902082443237,417.9717102050781,350.9219665527344,0.9986379742622375,979.7591552734375,531.0117797851562,0.9998103976249695
9,385.9217834472656,284.5820617675781,0.9998495578765869,407.6895751953125,56.15401840209961,0.999737560749054,314.6510925292969,210.24269104003906,0.9998661279678345,294.6817321777344,308.68572998046875,0.9991820454597473,456.5359191894531,245.39309692382812,0.9998887777328491,418.0487060546875,350.8187561035156,0.9985285997390747,979.7591552734375,531.0057983398438,0.9998102784156799
10,385.85516357421875,284.5820617675781,0.9998520612716675,407.6322021484375,56.22843551635742,0.9997493624687195,314.6510925292969,210.24583435058594,0.9998679161071777,296.2091064453125,308.68572998046875,0.998670220375061,461.5679626464844,237.13018798828125,0.9995846152305603,435.03985595703125,342.3236389160156,0.9995150566101074,979.7591552734375,531.0050048828125,0.9998101592063904
11,385.85516357421875,284.5820617675781,0.9998512268066406,407.4510803222656,56.29633712768555,0.9997696280479431,314.6510925292969,210.2790985107422,0.9998624324798584,296.2886962890625,308.7373352050781,0.998683750629425,461.6051940917969,237.0050048828125,0.9995266199111938,435.44775390625,342.3114929199219,0.9994468092918396,980.2360229492188,525.0765380859375,0.9996734857559204
12,385.85516357421875,285.5375061035156,0.9998599290847778,407.4510803222656,56.39656448364258,0.9997537732124329,317.09320068359375,212.92002868652344,0.9998856782913208,308.50494384765625,307.1558837890625,0.9997057318687439,470.66851806640625,232.2831268310547,0.9994076490402222,454.27191162109375,339.2665710449219,0.9995470643043518,980.3283081054688,525.0765380859375,0.9996757507324219
13,385.9664611816406,285.5375061035156,0.9998652935028076,407.4510803222656,56.40977478027344,0.9998114705085754,317.0939025878906,212.9590301513672,0.9998847246170044,308.58355712890625,307.0729064941406,0.9997113347053528,470.6722412109375,232.25038146972656,0.9993956089019775,454.32867431640625,338.7208251953125,0.9995428323745728,980.3290405273438,525.0750122070312,0.9996774196624756
14,385.9664611816406,285.77508544921875,0.9998511075973511,407.6932373046875,56.40977478027344,0.999776303768158,317.5589599609375,214.05279541015625,0.9998496770858765,312.0801696777344,309.1287536621094,0.998619794845581,477.5789489746094,225.27578735351562,0.9998108744621277,471.92596435546875,335.35919189453125,0.9992377758026123,980.3313598632812,525.0765380859375,0.9996771812438965
15,385.9664611816406,285.77508544921875,0.999861478805542,407.758056640625,56.40681457519531,0.9997647404670715,317.5659484863281,214.07821655273438,0.9998468160629272,312.2547607421875,309.1287536621094,0.998473584651947,477.64788818359375,225.19686889648438,0.9998311996459961,472.0546875,335.2214050292969,0.999295711517334,980.3313598632812,525.0765380859375,0.9996767044067383
16,385.6177673339844,285.77508544921875,0.9997438788414001,407.758056640625,56.40681457519531,0.9997692704200745,318.5924377441406,217.69664001464844,0.9996951818466187,319.2281188964844,311.5286865234375,0.9990189075469971,478.5195007324219,222.26364135742188,0.9997124075889587,491.0891418457031,335.2214050292969,0.9963010549545288,980.3290405273438,525.07421875,0.9996765851974487
17,385.4453125,285.78424072265625,0.9997237324714661,407.758056640625,56.27586364746094,0.9997910857200623,318.5924377441406,217.90798950195312,0.999701201915741,319.2281188964844,311.5286865234375,0.9990299940109253,478.5195007324219,222.26364135742188,0.999710738658905,491.0891418457031,335.2353515625,0.9962059259414673,980.2417602539062,524.9976196289062,0.9996716976165771
18,385.33245849609375,285.7912902832031,0.9997310042381287,407.6932678222656,56.25993347167969,0.9997923970222473,318.5924377441406,217.93142700195312,0.9997045397758484,319.2281188964844,311.5286865234375,0.9990243911743164,478.5195007324219,222.26364135742188,0.999698281288147,491.0891418457031,335.35919189453125,0.9962010979652405,980.2417602539062,524.9976196289062,0.9996678829193115
19,385.33245849609375,286.6158447265625,0.9998511075973511,407.2288818359375,56.25993347167969,0.9998005032539368,318.5924377441406,218.7165069580078,0.9996026158332825,318.39093017578125,311.27960205078125,0.9989325404167175,473.9754943847656,227.85719299316406,0.9999457597732544,472.3149719238281,340.8027038574219,0.9989871382713318,980.2417602539062,524.9976196289062,0.9996711015701294
20,385.33245849609375,286.6766357421875,0.9998478889465332,407.2288818359375,56.25591278076172,0.999813973903656,318.6062316894531,218.7620849609375,0.9996034502983093,318.39093017578125,311.2684020996094,0.9989257454872131,473.95562744140625,227.93936157226562,0.9999470710754395,472.30865478515625,340.8164978027344,0.9989832043647766,980.3282470703125,525.0315551757812,0.9996761083602905
21,389.8143615722656,286.6766357421875,0.99988853931427,407.2288818359375,56.244178771972656,0.9998083710670471,318.81787109375,218.7620849609375,0.9997767806053162,317.826416015625,310.7808837890625,0.9985607266426086,471.5000305175781,235.4693603515625,0.9999041557312012,465.578857421875,345.9949035644531,0.9994075298309326,980.3282470703125,525.0315551757812,0.9996764659881592
22,389.82562255859375,286.6158447265625,0.9998922348022461,407.28326416015625,56.2298469543457,0.9998039603233337,318.822509765625,218.7165069580078,0.9997730851173401,318.014892578125,310.54315185546875,0.998913049697876,471.444580078125,235.52798461914062,0.9999017715454102,465.5623779296875,346.0025329589844,0.9994169473648071,980.3282470703125,525.0315551757812,0.9996763467788696
23,390.08001708984375,286.4781799316406,0.9998719692230225,407.5661315917969,56.2298469543457,0.9997846484184265,319.3065490722656,217.86366271972656,0.9997757077217102,318.014892578125,310.0136413574219,0.9989206790924072,468.07806396484375,240.7724151611328,0.9999172687530518,448.82525634765625,349.29736328125,0.9989699125289917,980.3089599609375,525.015380859375,0.9996753931045532
24,390.08001708984375,286.4404602050781,0.9998515844345093,407.5661315917969,56.2298469543457,0.999755322933197,319.3065490722656,217.77960205078125,0.9997984766960144,317.70751953125,309.7305603027344,0.9988565444946289,468.0680236816406,240.7849578857422,0.9999181032180786,448.78814697265625,349.3061218261719,0.9990013241767883,980.254150390625,524.9920043945312,0.9996768236160278
25,390.08001708984375,286.4404602050781,0.9999330043792725,407.5661315917969,56.2298469543457,0.9997875094413757,319.3065490722656,217.66928100585938,0.9997348189353943,316.01849365234375,309.3508605957031,0.9990516304969788,461.7721252441406,244.87799072265625,0.999894380569458,437.28619384765625,351.7587585449219,0.9992087483406067,980.254150390625,524.9900512695312,0.999675989151001
26,390.04461669921875,286.4781799316406,0.9999285936355591,407.4618225097656,56.26736068725586,0.9997859597206116,318.9268798828125,217.55621337890625,0.9996985197067261,315.8409729003906,309.7305603027344,0.9990491271018982,461.7527160644531,244.98220825195312,0.9998958110809326,437.2601318359375,351.77117919921875,0.9991921782493591,980.254150390625,524.9900512695312,0.9996756315231323
27,386.7515563964844,287.3490295410156,0.9999094009399414,406.89923095703125,56.41762161254883,0.9998148083686829,316.1291198730469,216.70664978027344,0.9996663331985474,309.263427734375,310.0136413574219,0.9994020462036133,457.6517333984375,250.8191680908203,0.9998352527618408,429.3271789550781,356.7441711425781,0.9997052550315857,980.3015747070312,524.9900512695312,0.9996790885925293
28,385.977294921875,287.3490295410156,0.9999345541000366,406.8126220703125,56.41762161254883,0.999796450138092,316.1291198730469,216.410400390625,0.999756395816803,306.74566650390625,309.8861389160156,0.9995920062065125,455.0584716796875,250.8191680908203,0.9999154806137085,424.7012634277344,356.7441711425781,0.9995419979095459,980.3090209960938,525.007080078125,0.9996800422668457
29,385.9619140625,287.3490295410156,0.9999357461929321,406.52325439453125,56.41762161254883,0.9998236298561096,316.1291198730469,216.38449096679688,0.9997510313987732,306.7388916015625,309.8861389160156,0.9995824694633484,455.05035400390625,250.8191680908203,0.9999139308929443,424.669677734375,356.7441711425781,0.9995323419570923,980.3090209960938,525.0079956054688,0.9996806383132935
30,385.9619140625,286.280517578125,0.9998908042907715,406.0039367675781,55.45684051513672,0.9998726844787598,316.2257080078125,213.54232788085938,0.9998866319656372,306.7388916015625,309.8861389160156,0.9996953010559082,455.05035400390625,249.84124755859375,0.9999045133590698,424.669677734375,355.69683837890625,0.9995922446250916,980.3097534179688,525.0079956054688,0.9996805191040039
31,385.977294921875,286.2322998046875,0.9998949766159058,406.0039367675781,55.13983154296875,0.9998792409896851,316.2734069824219,213.54232788085938,0.9998807907104492,306.7388916015625,309.7838134765625,0.9997079968452454,455.0584716796875,249.8154296875,0.9999040365219116,424.7012634277344,355.6204528808594,0.9995847344398499,980.3097534179688,525.0088500976562,0.9996798038482666
32,388.22259521484375,284.41387939453125,0.9999704360961914,406.0039367675781,53.987789154052734,0.9998893737792969,319.3235778808594,213.5237274169922,0.99991774559021,310.89923095703125,306.3983154296875,0.9992321729660034,458.2292175292969,245.23403930664062,0.9999402761459351,431.8816223144531,349.0211486816406,0.9989055395126343,980.3072509765625,525.0098266601562,0.9996798038482666
33,388.26141357421875,284.41387939453125,0.999970555305481,406.0663757324219,53.987789154052734,0.9998873472213745,319.334716796875,213.54232788085938,0.9999176263809204,310.9085388183594,306.3983154296875,0.9992495179176331,458.2347106933594,245.23403930664062,0.9999415874481201,431.88299560546875,349.0211486816406,0.9989110231399536,980.2997436523438,525.0079956054688,0.9996845722198486
34,388.2835388183594,284.41387939453125,0.9999699592590332,406.0679931640625,53.987789154052734,0.999884843826294,319.3357238769531,213.5512237548828,0.9999169111251831,310.92767333984375,306.3983154296875,0.9992480874061584,458.2375183105469,245.23403930664062,0.9999418258666992,431.88641357421875,349.0211486816406,0.9989079236984253,980.2980346679688,525.0302734375,0.9996846914291382
35,391.52520751953125,285.6078796386719,0.9998568296432495,407.2203674316406,55.045387268066406,0.9998319149017334,320.7861022949219,216.4696044921875,0.9999270439147949,313.41943359375,308.4834289550781,0.9987995624542236,460.0556945800781,247.00633239746094,0.9999333620071411,431.99615478515625,354.2168273925781,0.9996070265769958,980.2828369140625,525.0322875976562,0.9996824264526367
36,391.52520751953125,285.7023620605469,0.999863862991333,407.31707763671875,55.188663482666016,0.9998177886009216,320.8364562988281,216.4935760498047,0.9999275207519531,313.41943359375,308.6080627441406,0.998948872089386,460.06756591796875,247.01019287109375,0.9999328851699829,431.99615478515625,354.23876953125,0.9995998740196228,980.252685546875,525.0322875976562,0.9996694326400757
37,391.52520751953125,288.12213134765625,0.9998584985733032,407.31707763671875,55.813594818115234,0.9997970461845398,320.8364562988281,216.4935760498047,0.9998227953910828,313.41943359375,308.9596862792969,0.9983397722244263,460.06756591796875,249.5667266845703,0.9997751116752625,431.99615478515625,354.8072204589844,0.9994707703590393,980.252685546875,525.0302734375,0.9996694326400757
