scorer,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,LeftKnee,LeftKnee,LeftKnee,LeftFoot,LeftFoot,LeftFoot,RightKnee,RightKnee,RightKnee,RightFoot,RightFoot,RightFoot,SoundStimuli,SoundStimuli,SoundStimuli
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,291.58538818359375,420.84954833984375,0.9999055862426758,292.3734130859375,187.3955535888672,0.9995749592781067,229.9974365234375,375.4847106933594,0.9998931884765625,262.11761474609375,455.0327453613281,0.999104917049408,356.6822509765625,383.1644287109375,0.9997617602348328,339.8117370605469,437.01397705078125,0.9997896552085876,979.9754028320312,524.9835815429688,0.9997056126594543
1,291.58538818359375,420.84954833984375,0.9999101161956787,292.3734130859375,187.463623046875,0.9995579123497009,229.9974365234375,375.4847106933594,0.9998947381973267,262.11761474609375,455.0327453613281,0.9991649389266968,356.6822509765625,383.1644287109375,0.9997643828392029,339.8117370605469,437.01397705078125,0.9998000264167786,980.028076171875,525.03662109375,0.999703586101532
2,291.58538818359375,420.84954833984375,0.999915599822998,292.3734130859375,187.463623046875,0.9995324611663818,229.9974365234375,375.4847106933594,0.9998902082443237,262.11761474609375,455.0327453613281,0.9991223216056824,356.6822509765625,383.1644287109375,0.9997796416282654,339.8117370605469,437.01397705078125,0.9998006224632263,980.036865234375,525.03662109375,0.9997016787528992
3,291.58538818359375,419.88214111328125,0.9999357461929321,292.02264404296875,187.3955535888672,0.9995834231376648,229.9974365234375,375.37786865234375,0.9999194145202637,262.1578674316406,452.51220703125,0.9987952709197998,356.6822509765625,382.7075500488281,0.9998570680618286,339.8117370605469,434.971923828125,0.9997870326042175,980.036865234375,525.0325317382812,0.9997054934501648
4,291.58538818359375,419.88214111328125,0.9999361038208008,291.9714050292969,187.13729858398438,0.9996091723442078,229.9974365234375,375.37786865234375,0.99991774559021,262.3511962890625,452.51220703125,0.9987990856170654,356.6822509765625,382.7075500488281,0.9998502731323242,339.8117370605469,434.9418640136719,0.9997804760932922,980.036865234375,525.0325317382812,0.9997051358222961
5,292.0196228027344,419.8092346191406,0.9998576641082764,291.9714050292969,187.13729858398438,0.9995939135551453,230.4832763671875,374.99261474609375,0.9998743534088135,263.33038330078125,452.51220703125,0.9991324543952942,357.3286437988281,382.5056457519531,0.9997715353965759,340.6961975097656,434.9418640136719,0.9998420476913452,980.0414428710938,525.03662109375,0.9997054934501648
6,292.0196228027344,419.8092346191406,0.9998569488525391,291.9714050292969,187.13729858398438,0.9995772242546082,230.4832763671875,374.99261474609375,0.9998695850372314,263.33038330078125,452.52532958984375,0.999148964881897,357.3286437988281,382.5056457519531,0.9997716546058655,340.6961975097656,434.971923828125,0.9998419284820557,980.0455932617188,525.204833984375,0.9997079968452454
7,292.0196228027344,419.8092346191406,0.9999090433120728,292.0213317871094,187.15028381347656,0.9995300769805908,230.4832763671875,374.99261474609375,0.9998840093612671,263.33038330078125,452.6150207519531,0.9990969896316528,357.3286437988281,382.4465026855469,0.9998101592063904,340.6961975097656,435.1719055175781,0.9998587369918823,980.0485229492188,525.204833984375,0.999708354473114
