scorer,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,LeftKnee,LeftKnee,LeftKnee,LeftFoot,LeftFoot,LeftFoot,RightKnee,RightKnee,RightKnee,RightFoot,RightFoot,RightFoot,SoundStimuli,SoundStimuli,SoundStimuli
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,342.9767761230469,430.3366394042969,0.999911904335022,377.9417724609375,218.64700317382812,0.984982430934906,296.5271301269531,381.3302307128906,0.998684823513031,265.938720703125,485.2540283203125,0.9949674010276794,401.5095520019531,406.54339599609375,0.9999179840087891,381.8733825683594,482.80841064453125,0.9973509311676025,979.6356811523438,529.2305908203125,0.9996090531349182
1,343.0809631347656,430.3366394042969,0.9999097585678101,377.9503479003906,218.64700317382812,0.9865975975990295,297.6817321777344,381.3302307128906,0.9986308217048645,266.0046691894531,485.2540283203125,0.9948663711547852,401.52935791015625,406.5625915527344,0.9999184608459473,382.3031921386719,482.80841064453125,0.9971338510513306,979.6356811523438,529.2347412109375,0.9996137022972107
2,343.0809631347656,430.3366394042969,0.9995978474617004,377.9503479003906,218.64700317382812,0.9914482831954956,297.6817321777344,381.3302307128906,0.9987934827804565,273.65740966796875,485.2540283203125,0.9986302852630615,401.52935791015625,407.00860595703125,0.9999089241027832,382.3031921386719,488.8407897949219,0.9991227984428406,979.6356811523438,529.2348022460938,0.9996132254600525
3,343.0809631347656,430.3366394042969,0.9995895028114319,377.9417724609375,218.48660278320312,0.991080105304718,296.5271301269531,381.1568908691406,0.9987782835960388,273.7421569824219,485.1555480957031,0.998701810836792,401.5095520019531,407.10833740234375,0.9999068975448608,381.8733825683594,488.8407897949219,0.9989482760429382,979.6290283203125,529.2371215820312,0.9996070265769958
4,339.40008544921875,430.3366394042969,0.9997757077217102,377.7237854003906,217.67874145507812,0.9930552840232849,295.259765625,379.5791015625,0.9994494318962097,279.2304992675781,466.5299987792969,0.9977885484695435,396.4298400878906,409.6984558105469,0.9994787573814392,347.6216125488281,496.7727966308594,0.9943414926528931,979.6281127929688,529.2371215820312,0.9996083378791809
5,337.70794677734375,431.1337585449219,0.9997403025627136,377.0174560546875,217.67874145507812,0.9929793477058411,295.259765625,378.95013427734375,0.9995449185371399,283.1029968261719,459.34857177734375,0.9974531531333923,396.4298400878906,409.6984558105469,0.9989235997200012,342.59246826171875,500.65582275390625,0.9776825308799744,979.626953125,529.2371215820312,0.9996079802513123
6,337.70794677734375,431.1434631347656,0.9997407793998718,377.0174560546875,217.6007843017578,0.9927473664283752,295.259765625,378.9403381347656,0.9995458722114563,283.1347961425781,459.0587158203125,0.9974658489227295,396.4298400878906,409.6984558105469,0.9989218711853027,342.51611328125,500.6777038574219,0.9781634211540222,979.626953125,529.2371215820312,0.9996066689491272
7,337.70794677734375,431.17724609375,0.9997765421867371,377.0174560546875,217.6007843017578,0.989930272102356,298.18597412109375,377.68927001953125,0.9982655644416809,283.1347961425781,459.0587158203125,0.9993409514427185,402.6632385253906,409.0169372558594,0.9992027878761292,342.51611328125,500.6777038574219,0.4476524591445923,979.626953125,529.2371215820312,0.9996070265769958
